wl,tulle_16,tulle_12,tulle_8,tulle_6,tulle_4,tulle_3,tulle_2,tulle_1
285.58,9.865,18.033,30.16,37.789,60.478,67.031,70.014,83.876
285.85,10.123,17.968,29.789,37.435,60.7,66.935,69.572,83.909
286.12,10.033,17.701,29.24,37.265,60.345,66.688,69.058,83.669
286.38,9.472,17.466,29.304,37.189,59.881,66.5,69.74,83.961
286.65,8.725,16.415,29.013,36.955,58.907,66.042,70.198,84.045
286.92,8.4,16.332,28.988,37.355,58.119,65.598,70.898,84.197
287.19,7.983,16.462,28.305,37.671,57.385,64.849,70.839,84.028
287.45,7.868,16.991,27.823,38.057,57.523,65.128,70.943,84.512
287.72,7.513,17.103,27.327,37.778,57.563,65.435,71.307,84.868
287.99,7.677,17.163,27.759,37.989,56.722,65.341,71.107,84.676
288.25,7.858,17.088,28.04,37.558,56.704,65.609,71.274,84.611
288.52,8.557,17.449,28.348,37.798,57.079,66.183,71.576,84.682
288.79,8.357,17.528,28.505,37.988,56.778,66.314,71.678,84.383
289.06,8.288,17.276,28.566,38.067,56.894,66.655,72.079,84.906
289.32,8.353,17.514,28.489,38.315,56.751,66.672,72.691,85.15
289.59,8.311,17.255,28.558,38.102,56.542,66.16,73.073,84.912
289.86,8.785,17.267,28.63,38.44,56.439,65.608,73.829,85.456
290.12,8.572,16.861,28.703,38.455,56.474,65.586,74.128,85.587
290.39,8.149,17.001,28.979,38.458,56.311,65.988,74.652,85.908
290.66,8.596,17.377,29.349,38.592,56.337,66.325,75.022,86.219
290.92,8.756,16.999,29.847,38.574,56.369,66.087,74.796,86.19
291.19,8.621,16.58,29.873,38.201,56.286,65.621,74.069,85.934
291.46,8.566,16.115,29.762,37.878,56.66,65.444,73.821,86.047
291.73,9.047,16.056,30.164,37.99,57.207,66.116,74.234,86.507
291.99,8.845,16.284,30.354,37.52,57.083,66.131,74.056,86.344
292.26,9.13,16.569,30.419,37.623,57.079,65.815,73.947,86.394
292.53,9.303,16.595,30.106,37.526,57.391,65.485,74.471,86.646
