wl,ir
586.557,-0.01
586.899,-0.01
587.241,-0.01
587.583,-0.01
587.925,-0.01
588.267,-0.01
588.608,-0.01
588.95,-0.01
589.292,-0.02
589.634,-0.02
589.975,-0.02
590.317,-0.02
590.659,-0.02
591,-0.02
591.342,-0.02
591.683,-0.02
592.025,-0.03
592.366,-0.02
592.707,-0.02
593.048,-0.02
593.39,-0.02
593.731,-0.02
594.072,-0.02
594.413,-0.02
594.754,-0.02
595.095,-0.01
595.436,-0.01
595.777,-0.01
596.118,-0.01
596.458,-0.01
596.799,-0.01
597.14,-0.01
597.481,-0.01
597.821,-0.01
598.162,-0.01
598.502,-0.01
598.843,-0.01
599.183,-0.01
599.523,-0.01
599.864,-0.01
600.204,-0.02
600.544,-0.02
600.884,-0.02
601.225,-0.02
601.565,-0.02
601.905,-0.02
602.245,-0.02
602.585,-0.02
602.924,-0.02
603.264,-0.01
603.604,-0.02
603.944,-0.02
604.284,-0.02
604.623,-0.01
604.963,-0.01
605.302,-0.01
605.642,-0.01
605.981,-0.01
606.321,-0.01
606.66,-0.01
606.999,-0.01
607.339,-0.01
607.678,-0.01
608.017,-0.01
608.356,-0.01
608.695,-0.01
609.034,-0.01
609.373,-0.01
609.712,-0.01
610.051,-0.01
610.39,-0.01
610.729,-0.01
611.068,-0.01
611.406,-0.01
611.745,-0.01
612.083,-0.01
612.422,-0.01
612.761,-0.01
613.099,-0.01
613.437,-0.02
613.776,-0.02
614.114,-0.02
614.452,-0.01
614.791,-0.02
615.129,-0.02
615.467,-0.02
615.805,-0.02
616.143,-0.02
616.481,-0.02
616.819,-0.02
617.157,-0.02
617.495,-0.02
617.832,-0.02
618.17,-0.02
618.508,-0.02
618.845,-0.02
619.183,-0.02
619.521,-0.02
619.858,-0.02
620.196,-0.02
620.533,-0.02
620.87,-0.02
621.208,-0.02
621.545,-0.02
621.882,-0.02
622.219,-0.02
622.556,-0.02
622.893,-0.02
623.23,-0.02
623.567,-0.02
623.904,-0.02
624.241,-0.02
624.578,-0.02
624.915,-0.01
625.252,-0.01
625.588,-0.01
625.925,-0.01
626.261,-0.01
626.598,-0.01
626.934,-0.01
627.271,-0.01
627.607,-0.01
627.944,-0.01
628.28,0
628.616,0
628.952,0
629.289,-0.01
629.625,-0.01
629.961,-0.01
630.297,-0.01
630.633,-0.01
630.969,-0.01
631.304,-0.01
631.64,-0.01
631.976,-0.01
632.312,-0.01
632.647,-0.01
632.983,-0.01
633.318,-0.01
633.654,-0.01
633.989,-0.01
634.325,-0.01
634.66,-0.01
634.996,-0.01
635.331,-0.01
635.666,-0.01
636.001,-0.01
636.336,-0.02
636.671,-0.01
637.006,-0.01
637.341,-0.02
637.676,-0.01
638.011,-0.01
638.346,-0.01
638.681,-0.02
639.016,-0.01
639.35,-0.01
639.685,-0.01
640.019,-0.02
640.354,-0.01
640.688,-0.01
641.023,-0.01
